time,pm2_5,pm10,co,no2,so2,o3
2026-06-08T00:00,3.5,3.8,212.0,6.6,4.0,41.0
2026-06-08T01:00,3.9,4.2,273.0,7.5,4.2,42.0
2026-06-08T02:00,4.0,4.5,354.0,8.6,4.3,44.0
2026-06-08T03:00,4.6,5.7,396.0,8.9,4.3,49.0
2026-06-08T04:00,5.3,6.9,360.0,7.5,4.0,60.0
2026-06-08T05:00,5.5,7.4,285.0,5.2,3.5,74.0
2026-06-08T06:00,5.3,7.5,233.0,3.5,3.1,85.0
2026-06-08T07:00,4.8,6.8,229.0,2.6,2.7,90.0
2026-06-08T08:00,4.4,6.3,249.0,2.2,2.2,92.0
2026-06-08T09:00,4.1,5.9,280.0,3.0,2.1,90.0
2026-06-08T10:00,4.1,6.2,331.0,5.9,2.5,83.0
2026-06-08T11:00,4.9,6.4,394.0,10.0,3.2,73.0
2026-06-08T12:00,5.7,7.2,432.0,13.0,3.8,64.0
2026-06-08T13:00,6.3,7.5,424.0,13.8,4.1,57.0
2026-06-08T14:00,6.1,7.0,392.0,13.5,4.3,50.0
2026-06-08T15:00,5.2,5.9,360.0,12.9,4.4,45.0
2026-06-08T16:00,4.7,5.2,339.0,12.2,4.3,42.0
2026-06-08T17:00,4.4,4.8,319.0,11.2,4.1,41.0
2026-06-08T18:00,3.6,3.8,293.0,10.1,3.9,40.0
2026-06-08T19:00,2.9,3.1,254.0,8.8,3.7,40.0
2026-06-08T20:00,2.5,2.6,209.0,7.3,3.4,41.0
2026-06-08T21:00,2.3,2.3,178.0,6.3,3.3,41.0
2026-06-08T22:00,2.1,2.1,167.0,5.9,3.3,41.0
2026-06-08T23:00,1.9,2.0,169.0,5.9,3.4,40.0
2026-06-09T00:00,2.0,2.0,187.0,6.0,3.5,40.0
2026-06-09T01:00,2.5,2.6,236.0,6.4,3.5,41.0
2026-06-09T02:00,3.4,3.5,301.0,6.9,3.4,43.0
2026-06-09T03:00,2.7,2.8,338.0,7.0,3.3,46.0
2026-06-09T04:00,3.0,3.1,320.0,6.2,3.1,52.0
2026-06-09T05:00,2.5,2.5,273.0,5.1,2.8,59.0
2026-06-09T06:00,2.5,2.7,241.0,4.1,2.6,66.0
2026-06-09T07:00,2.9,3.5,235.0,3.2,2.4,72.0
2026-06-09T08:00,2.9,3.8,243.0,2.5,2.3,78.0
2026-06-09T09:00,2.8,3.6,266.0,3.2,2.4,79.0
2026-06-09T10:00,2.8,3.4,319.0,6.5,2.7,73.0
